import time: self [us] | cumulative | imported package
import time:        15 |         15 |                         spacy.tokens.thinc
import time:         9 |         23 |                       spacy.tokens.thinc.api
import time:       415 |        415 |                       spacy.tokens.underscore
import time:      2309 |       4667 |                     spacy.tokens.token
import time:        20 |         20 |                     spacy.tokens.copy
import time:        13 |         13 |                     spacy.tokens.warnings
import time:        12 |         12 |                     spacy.tokens.numpy
import time:        11 |         11 |                       spacy.tokens.thinc
import time:         6 |         16 |                     spacy.tokens.thinc.api
import time:      2306 |       7031 |                   spacy.tokens.span
import time:        14 |         14 |                   spacy.tokens.typing
import time:        11 |         11 |                   spacy.tokens.copy
import time:        11 |         11 |                   spacy.tokens.itertools
import time:        10 |         10 |                   spacy.tokens.warnings
import time:        11 |         11 |                   spacy.tokens.collections
import time:        11 |         11 |                   spacy.tokens.enum
import time:        11 |         11 |                   spacy.tokens.numpy
import time:        11 |         11 |                   spacy.tokens.srsly
import time:        11 |         11 |                     spacy.tokens.thinc
import time:         8 |         18 |                   spacy.tokens.thinc.api
import time:        10 |         10 |                     spacy.tokens.thinc
import time:         9 |         18 |                   spacy.tokens.thinc.util
import time:        37 |         37 |                       spacy.tokens.struct
import time:        13 |         13 |                       spacy.tokens.weakref
import time:        11 |         11 |                       spacy.tokens.copy
import time:        11 |         11 |                       spacy.tokens.typing
import time:        11 |         11 |                       spacy.tokens.srsly
import time:        11 |         11 |                         spacy.tokens.spacy
import time:         8 |         18 |                       spacy.tokens.spacy.errors
import time:      2480 |       2577 |                     spacy.tokens.span_group
import time:       506 |       3082 |                   spacy.tokens._dict_proxies
import time:     15681 |      15681 |                   spacy.schemas
import time:        43 |         43 |                     spacy.tokens.numpy
import time:        22 |         22 |                       spacy.tokens.thinc
import time:        12 |         33 |                     spacy.tokens.thinc.api
import time:      2451 |       2527 |                   spacy.tokens._retokenize
import time:     11412 |      39853 |                 spacy.tokens.doc
import time:        19 |         19 |                 spacy.functools
import time:        13 |         13 |                 spacy.contextlib
import time:        12 |         12 |                 spacy.typing
import time:        11 |         11 |                 spacy.numpy
import time:        10 |         10 |                 spacy.srsly
import time:        11 |         11 |                   spacy.thinc
import time:         6 |         16 |                 spacy.thinc.api
import time:      2317 |       2317 |                   unicodedata
import time:       537 |       2854 |                 spacy.lang.lex_attrs
import time:       349 |        349 |                 spacy.lang.norm_exceptions
import time:        46 |         46 |                   spacy.typing
import time:        16 |         16 |                   spacy.warnings
import time:        12 |         12 |                   spacy.enum
import time:        11 |         11 |                   spacy.pathlib
import time:        11 |         11 |                   spacy.typing
import time:        11 |         11 |                   spacy.numpy
import time:        10 |         10 |                   spacy.srsly
import time:        13 |         13 |                     spacy.thinc
import time:         7 |         19 |                   spacy.thinc.api
import time:        10 |         10 |                     spacy.thinc
import time:         7 |         17 |                   spacy.thinc.backends
import time:        11 |         11 |                     spacy.thinc
import time:         7 |         18 |                   spacy.thinc.types
import time:      2451 |       2618 |                 spacy.vectors
import time:      2739 |      54618 |               spacy.vocab
import time:      1118 |      57682 |             spacy.tokens._serialize
import time:       844 |      58525 |           spacy.tokens
import time:       372 |      58897 |         spacy.pipe_analysis
import time:        47 |         47 |                 spacy.training.re
import time:        15 |         15 |                 spacy.training.itertools
import time:        13 |         13 |                 spacy.training.typing
import time:      2505 |       2578 |               spacy.training.align
import time:        34 |         34 |                 spacy.training.typing
import time:        14 |         14 |                 spacy.training.numpy
import time:      1688 |       1736 |               spacy.training.alignment_array
import time:       578 |       4891 |             spacy.training.alignment
import time:        35 |         35 |                   spacy.training.collections
import time:        18 |         52 |                 spacy.training.collections.abc
import time:        13 |         13 |                 spacy.training.numpy
import time:       223 |        223 |                 spacy.pipeline._parser_internals
import time:        40 |         40 |                   spacy.pipeline._parser_internals.copy
import time:      2410 |       2449 |                 spacy.pipeline._parser_internals.nonproj
import time:       473 |        473 |                 spacy.training.iob_utils
import time:      2434 |       5642 |               spacy.training.example
import time:       513 |       6155 |             spacy.training.augment
import time:       316 |        316 |             spacy.training.batchers
import time:       223 |        223 |             spacy.training.callbacks
import time:       411 |        411 |             spacy.training.corpus
import time:        39 |         39 |               spacy.training.warnings
import time:        15 |         15 |               spacy.training.srsly
import time:      1863 |       1916 |             spacy.training.gold_io
import time:       358 |        358 |                 tqdm._monitor
import time:       206 |        206 |                 tqdm._tqdm_pandas
import time:       501 |        501 |                     tqdm.utils
import time:       728 |       1229 |                   tqdm.std
import time:       211 |        211 |                     tqdm._dist_ver
import time:       202 |        412 |                   tqdm.version
import time:       484 |       2124 |                 tqdm.cli
import time:       294 |        294 |                 tqdm.gui
import time:       299 |       3279 |               tqdm
import time:       418 |       3696 |             spacy.training.loggers
import time:       337 |      17940 |           spacy.training
import time:       703 |      18642 |         spacy.scorer
import time:        46 |         46 |                   spacy.matcher.typing
import time:        16 |         16 |                   spacy.matcher.re
import time:        17 |         17 |                   spacy.matcher.warnings
import time:        12 |         12 |                   spacy.matcher.srsly
import time:      2024 |       2024 |                   spacy.matcher.levenshtein
import time:      3133 |       5247 |                 spacy.matcher.matcher
import time:        34 |         34 |                 spacy.matcher.warnings
import time:        14 |         14 |                 spacy.matcher.collections
import time:        12 |         12 |                 spacy.matcher.itertools
import time:        15 |         15 |                 spacy.matcher.typing
import time:      2407 |       7726 |               spacy.matcher.dependencymatcher
import time:        29 |         29 |                 spacy.matcher.warnings
import time:      2096 |       2125 |               spacy.matcher.phrasematcher
import time:       318 |      10168 |             spacy.matcher
import time:        16 |      10184 |           spacy.matcher.phrasematcher
import time:        25 |         25 |           spacy.re
import time:      2792 |      13000 |         spacy.tokenizer
import time:        32 |         32 |             pwd
import time:      1945 |       1945 |             grp
import time:      1008 |       2984 |           tarfile
import time:       441 |        441 |           spacy.training.pretrain
import time:       441 |       3865 |         spacy.training.initialize
import time:      2562 |     112170 |       spacy.language
import time:        71 |         71 |         spacy.pipeline.warnings
import time:        29 |         29 |         spacy.pipeline.typing
import time:        14 |         14 |         spacy.pipeline.srsly
import time:    418619 |     418731 |       spacy.pipeline.pipe
import time:       942 |     552010 |     spacy.pipeline.attributeruler
import time:        40 |         40 |           spacy.pipeline.typing
import time:        14 |         14 |           spacy.pipeline.srsly
import time:        11 |         11 |             spacy.pipeline.thinc
import time:         9 |         20 |           spacy.pipeline.thinc.api
import time:    185712 |     185785 |         spacy.pipeline.trainable_pipe
import time:    283068 |     283068 |         spacy.pipeline._parser_internals.stateclass
import time:        56 |         56 |           spacy.pipeline._parser_internals.collections
import time:        17 |         17 |           spacy.pipeline._parser_internals.srsly
import time:    176265 |     176337 |         spacy.pipeline._parser_internals.transition_system
import time:       494 |        494 |             spacy.ml.callbacks
import time:        66 |         66 |                       spacy.kb.pathlib
import time:        16 |         16 |                       spacy.kb.typing
import time:    220008 |     220089 |                     spacy.kb.kb
import time:        13 |         13 |                     spacy.kb.typing
import time:    161243 |     381344 |                   spacy.kb.candidate
import time:        42 |         42 |                     spacy.kb.typing
import time:        14 |         14 |                     spacy.kb.srsly
import time:        12 |         12 |                     spacy.kb.warnings
import time:        11 |         11 |                     spacy.kb.pathlib
import time:    183563 |     183641 |                   spacy.kb.kb_in_memory
import time:       237 |     565222 |                 spacy.kb
import time:       475 |        475 |                 spacy.ml.extract_spans
import time:       356 |     566051 |               spacy.ml.models.entity_linker
import time:       460 |        460 |               spacy.ml.models.multi_task
import time:       276 |        276 |                 spacy.ml._precomputable_affine
import time:        48 |         48 |                     spacy.ml.numpy
import time:        15 |         15 |                       spacy.ml.numpy
import time:        11 |         25 |                     spacy.ml.numpy.random
import time:    148004 |     148004 |                           numpy.random._common
import time:      2616 |       2616 |                               _hashlib
import time:      1551 |       1551 |                                 _blake2
import time:       383 |       1933 |                               hashlib
import time:       330 |       4878 |                             hmac
import time:       338 |       5215 |                           secrets
import time:    184884 |     338103 |                         numpy.random.bit_generator
import time:    154901 |     493003 |                       numpy.random._bounded_integers
import time:    141163 |     141163 |                           numpy.random._pcg64
import time:    173939 |     315102 |                         numpy.random._generator
import time:    145479 |     145479 |                         numpy.random._mt19937
import time:    147090 |     147090 |                         numpy.random._philox
import time:    152845 |     152845 |                         numpy.random._sfc64
import time:    166509 |     166509 |                         numpy.random.mtrand
import time:       506 |     927529 |                       numpy.random._pickle
import time:      1732 |    1422264 |                     numpy.random
import time:        68 |         68 |                       spacy.ml.thinc
import time:        13 |         81 |                     spacy.ml.thinc.api
import time:    193503 |    1615919 |                   spacy.ml.parser_model
import time:       192 |    1616111 |                 spacy.ml.tb_framework
import time:       442 |    1616828 |               spacy.ml.models.parser
import time:       390 |        390 |               spacy.ml.models.span_finder
import time:       309 |        309 |               spacy.ml.models.spancat
import time:       322 |        322 |               spacy.ml.models.tagger
import time:       133 |        133 |                 spacy.ml.extract_ngrams
import time:       916 |        916 |                 spacy.ml.staticvectors
import time:       139 |        139 |                   spacy.ml._character_embed
import time:       649 |        649 |                   spacy.pipeline.tok2vec
import time:       176 |        176 |                   spacy.ml.featureextractor
import time:       337 |       1301 |                 spacy.ml.models.tok2vec
import time:       376 |       2724 |               spacy.ml.models.textcat
import time:       367 |    2187447 |             spacy.ml.models
import time:       515 |    2188456 |           spacy.ml
import time:        11 |    2188466 |         spacy.ml.parser_model
import time:        22 |         22 |         spacy.pipeline.itertools
import time:        14 |         14 |         spacy.pipeline.random
import time:        12 |         12 |         spacy.pipeline.numpy
import time:        12 |         12 |           spacy.pipeline.numpy
import time:         7 |         18 |         spacy.pipeline.numpy.random
import time:        12 |         12 |         spacy.pipeline.srsly
import time:        11 |         11 |           spacy.pipeline.thinc
import time:         7 |         17 |         spacy.pipeline.thinc.api
import time:       320 |        320 |             thinc.extra
import time:       184 |        184 |             thinc.extra.math
import time:    177285 |     177788 |           thinc.extra.search
import time:        24 |         24 |           spacy.pipeline._parser_internals.numpy
import time:        14 |         14 |               spacy.pipeline._parser_internals.thinc
import time:         8 |         22 |             spacy.pipeline._parser_internals.thinc.extra
import time:         8 |         29 |           spacy.pipeline._parser_internals.thinc.extra.search
import time:    197146 |     374985 |         spacy.pipeline._parser_internals._beam_utils
import time:    281527 |    3490257 |       spacy.pipeline.transition_parser
import time:        61 |         61 |         spacy.pipeline._parser_internals.collections
import time:    207253 |     207314 |       spacy.pipeline._parser_internals.arc_eager
import time:        43 |         43 |       spacy.pipeline.importlib
import time:        25 |         25 |       spacy.pipeline.sys
import time:        22 |         22 |       spacy.pipeline.collections
import time:        13 |         13 |       spacy.pipeline.typing
import time:        12 |         12 |         spacy.pipeline.thinc
import time:         9 |         21 |       spacy.pipeline.thinc.api
import time:       801 |        801 |       spacy.pipeline.functions
import time:    190695 |    3889189 |     spacy.pipeline.dep_parser
import time:       264 |        264 |         spacy.pipeline._edit_tree_internals
import time:      1437 |       1437 |         spacy.pipeline._edit_tree_internals.schemas
import time:    181760 |     183460 |       spacy.pipeline._edit_tree_internals.edit_trees
import time:       610 |        610 |       spacy.pipeline.lemmatizer
import time:      1308 |     185377 |     spacy.pipeline.edit_tree_lemmatizer
import time:       696 |        696 |           spacy.pipeline.legacy.entity_linker
import time:       243 |        939 |         spacy.pipeline.legacy
import time:        13 |        951 |       spacy.pipeline.legacy.entity_linker
import time:       791 |       1742 |     spacy.pipeline.entity_linker
import time:       572 |        572 |     spacy.pipeline.entityruler
import time:        84 |         84 |       spacy.pipeline.importlib
import time:        17 |         17 |       spacy.pipeline.sys
import time:        29 |         29 |       spacy.pipeline.itertools
import time:        16 |         16 |       spacy.pipeline.typing
import time:        23 |         23 |         spacy.pipeline.thinc
import time:        45 |         67 |       spacy.pipeline.thinc.api
import time:        84 |         84 |         spacy.pipeline.importlib
import time:        19 |         19 |         spacy.pipeline.sys
import time:        14 |         14 |         spacy.pipeline.itertools
import time:        13 |         13 |         spacy.pipeline.typing
import time:        12 |         12 |         spacy.pipeline.numpy
import time:        14 |         14 |           spacy.pipeline.thinc
import time:         8 |         21 |         spacy.pipeline.thinc.api
import time:    203285 |     203447 |       spacy.pipeline.tagger
import time:    243880 |     447538 |     spacy.pipeline.morphologizer
import time:        51 |         51 |         spacy.pipeline._parser_internals.collections
import time:    196655 |     196705 |       spacy.pipeline._parser_internals.ner
import time:        25 |         25 |       spacy.pipeline.importlib
import time:        17 |         17 |       spacy.pipeline.sys
import time:        15 |         15 |       spacy.pipeline.collections
import time:        14 |         14 |       spacy.pipeline.typing
import time:        15 |         15 |         spacy.pipeline.thinc
import time:         8 |         22 |       spacy.pipeline.thinc.api
import time:    182296 |     379091 |     spacy.pipeline.ner
import time:        59 |         59 |       spacy.pipeline.importlib
import time:        17 |         17 |       spacy.pipeline.sys
import time:        13 |         13 |       spacy.pipeline.typing
import time:        11 |         11 |       spacy.pipeline.srsly
import time:        71 |         71 |         spacy.pipeline.importlib
import time:        17 |         17 |         spacy.pipeline.sys
import time:        13 |         13 |         spacy.pipeline.itertools
import time:        12 |         12 |         spacy.pipeline.typing
import time:        12 |         12 |           spacy.pipeline.thinc
import time:         8 |         20 |         spacy.pipeline.thinc.api
import time:    189377 |     189507 |       spacy.pipeline.senter
import time:    179425 |     369030 |     spacy.pipeline.sentencizer
import time:      1309 |       1309 |       spacy.pipeline.spancat
import time:       758 |       2066 |     spacy.pipeline.span_finder
import time:      1405 |       1405 |     spacy.pipeline.span_ruler
import time:      1052 |       1052 |     spacy.pipeline.textcat
import time:       621 |        621 |     spacy.pipeline.textcat_multilabel
import time:       470 |    5830156 |   spacy.pipeline
import time:       734 |        734 |                 http
import time:       511 |        511 |                   email.feedparser
import time:       343 |        853 |                 email.parser
import time:      2513 |       4100 |               http.client
import time:       800 |       4900 |             urllib3.exceptions
import time:       431 |        431 |                     urllib3.util.timeout
import time:      1963 |       2393 |                   urllib3.util.connection
import time:       243 |        243 |                     urllib3.util.util
import time:        68 |         68 |                     brotlicffi
import time:        42 |         42 |                     brotli
import time:        38 |         38 |                     backports
import time:       549 |        938 |                   urllib3.util.request
import time:       260 |        260 |                   urllib3.util.response
import time:       408 |        408 |                   urllib3.util.retry
import time:      4181 |       4181 |                     urllib3.util.url
import time:       409 |        409 |                     urllib3.util.ssltransport
import time:       443 |       5032 |                   urllib3.util.ssl_
import time:       247 |        247 |                   urllib3.util.wait
import time:       429 |       9704 |                 urllib3.util
import time:        12 |       9715 |               urllib3.util.connection
import time:      1274 |      10989 |             urllib3._base_connection
import time:       589 |        589 |             urllib3._collections
import time:       141 |        141 |             urllib3._version
import time:      2243 |       2243 |                 _queue
import time:      1094 |       3336 |               queue
import time:        53 |         53 |                       _winapi
import time:        37 |         37 |                       winreg
import time:       373 |        463 |                     mimetypes
import time:       315 |        778 |                   urllib3.fields
import time:       235 |       1012 |                 urllib3.filepost
import time:        51 |         51 |                   brotlicffi
import time:        40 |         40 |                   brotli
import time:       137 |        137 |                     urllib3.http2
import time:       354 |        354 |                     urllib3.http2.probe
import time:       232 |        232 |                     urllib3.util.ssl_match_hostname
import time:       722 |       1443 |                   urllib3.connection
import time:        66 |         66 |                   backports
import time:       620 |       2216 |                 urllib3.response
import time:       295 |       3522 |               urllib3._request_methods
import time:       153 |        153 |               urllib3.util.proxy
import time:       495 |       7504 |             urllib3.connectionpool
import time:       698 |        698 |             urllib3.poolmanager
import time:       420 |      25239 |           urllib3
import time:       825 |        825 |                   charset_normalizer.constant
import time:    190617 |     190617 |                     charset_normalizer.md__mypyc
import time:      2223 |       2223 |                       _multibytecodec
import time:       676 |       2899 |                     charset_normalizer.utils
import time:    181113 |     374628 |                   charset_normalizer.md
import time:       540 |        540 |                   charset_normalizer.models
import time:       291 |     376283 |                 charset_normalizer.cd
import time:       475 |     376758 |               charset_normalizer.api
import time:       380 |        380 |               charset_normalizer.legacy
import time:       184 |        184 |               charset_normalizer.version
import time:        54 |         54 |               simplejson
import time:       253 |        253 |                     urllib.response
import time:       294 |        547 |                   urllib.error
import time:      2066 |       2066 |                   _scproxy
import time:      1048 |       3659 |                 urllib.request
import time:      1574 |       5233 |               http.cookiejar
import time:       875 |        875 |               http.cookies
import time:       694 |     384174 |             requests.compat
import time:       687 |     384861 |           requests.exceptions
import time:        89 |         89 |           chardet
import time:       477 |        477 |                 idna.idnadata
import time:       219 |        219 |                 idna.intranges
import time:       662 |       1357 |               idna.core
import time:       185 |        185 |               idna.package_data
import time:       580 |       2121 |             idna
import time:       776 |       2897 |           requests.packages
import time:       146 |        146 |                 certifi.core
import time:       257 |        402 |               certifi
import time:       165 |        567 |             requests.certs
import time:       118 |        118 |             requests.__version__
import time:       246 |        246 |             requests._internal_utils
import time:       414 |        414 |             requests.cookies
import time:       294 |        294 |             requests.structures
import time:       242 |        242 |                 importlib.resources._itertools
import time:       279 |        520 |               importlib.resources.readers
import time:       200 |        720 |             importlib.readers
import time:       542 |       2898 |           requests.utils
import time:       267 |        267 |                 requests.auth
import time:       329 |        329 |                     stringprep
import time:       263 |        591 |                   encodings.idna
import time:        92 |         92 |                   requests.hooks
import time:       377 |        377 |                   requests.status_codes
import time:       330 |       1388 |                 requests.models
import time:       215 |        215 |                   urllib3.contrib
import time:        45 |         45 |                   socks
import time:       278 |        537 |                 urllib3.contrib.socks
import time:       355 |       2546 |               requests.adapters
import time:       331 |       2877 |             requests.sessions
import time:       263 |       3139 |           requests.api
import time:      2258 |     421378 |         requests
import time:       712 |        712 |                 gettext
import time:       374 |        374 |                   click._compat
import time:       179 |        179 |                     click.globals
import time:       226 |        226 |                     click.utils
import time:       401 |        806 |                   click.exceptions
import time:       715 |       1894 |                 click.types
import time:       330 |        330 |                 click._utils
import time:       176 |        176 |                   click.parser
import time:       243 |        419 |                 click.formatting
import time:       207 |        207 |                 click.termui
import time:      1086 |       4646 |               click.core
import time:       216 |        216 |               click.decorators
import time:       389 |       5249 |             click
import time:        10 |       5258 |           click.exceptions
import time:       201 |        201 |           typer.colors
import time:       190 |        190 |             typer._types
import time:       266 |        266 |             typer._typing
import time:       737 |        737 |                 click.shell_completion
import time:       677 |        677 |                   typer.core
import time:       195 |        195 |                     shellingham._core
import time:       251 |        446 |                   shellingham
import time:       384 |       1506 |                 typer._completion_shared
import time:       272 |       2514 |               typer._completion_classes
import time:       606 |        606 |               typer.models
import time:       315 |        315 |               typer.params
import time:       332 |        332 |               typer.utils
import time:       271 |       4037 |             typer.completion
import time:       570 |       5061 |           typer.main
import time:       401 |      10919 |         typer
import time:       201 |        201 |               weasel.cli.main
import time:       146 |        146 |                     weasel.compat
import time:       110 |        110 |                     weasel.errors
import time:       272 |        528 |                   weasel.util.commands
import time:      2891 |       2891 |                     weasel.schemas
import time:       241 |        241 |                     weasel.util.environment
import time:       227 |        227 |                     weasel.util.frozen
import time:       114 |        114 |                     weasel.util.logging
import time:       229 |        229 |                     weasel.util.validation
import time:       238 |       3937 |                   weasel.util.config
import time:       251 |        251 |                   weasel.util.filesystem
import time:       221 |        221 |                   weasel.util.git
import time:        98 |         98 |                   weasel.util.hashing
import time:        85 |         85 |                   weasel.util.modules
import time:       205 |        205 |                   weasel.util.remote
import time:       102 |        102 |                   weasel.util.versions
import time:       324 |       5745 |                 weasel.util
import time:       253 |       5998 |               weasel.cli.assets
import time:        81 |         81 |                 weasel.about
import time:       219 |        300 |               weasel.cli.clone
import time:       224 |        224 |               weasel.cli.document
import time:       273 |        273 |               weasel.cli.dvc
import time:       270 |        270 |                 weasel.cli.remote_storage
import time:       322 |        322 |                 weasel.cli.run
import time:       244 |        835 |               weasel.cli.pull
import time:       157 |        157 |               weasel.cli.push
import time:       365 |       8349 |             weasel.cli
import time:       323 |       8671 |           weasel
import time:       394 |       9065 |         spacy.cli._util
import time:       667 |     442028 |       spacy.cli.download
import time:       321 |        321 |       spacy.cli.apply
import time:       187 |        187 |       spacy.cli.assemble
import time:       279 |        279 |       spacy.cli.benchmark_speed
import time:       245 |        245 |           spacy.training.converters.conll_ner_to_docs
import time:       213 |        213 |           spacy.training.converters.conllu_to_docs
import time:       193 |        193 |           spacy.training.converters.iob_to_docs
import time:       612 |        612 |             spacy.lang.xx
import time:       183 |        795 |           spacy.training.converters.json_to_docs
import time:       206 |       1650 |         spacy.training.converters
import time:       393 |       2043 |       spacy.cli.convert
import time:       192 |        192 |       spacy.cli.debug_config
import time:       512 |        512 |       spacy.cli.debug_data
import time:       576 |        576 |             jinja2.bccache
import time:      2551 |       2551 |                 markupsafe._speedups
import time:       523 |       3074 |               markupsafe
import time:      1134 |       1134 |                 jinja2.utils
import time:      1371 |       2504 |               jinja2.nodes
import time:       359 |        359 |                 jinja2.exceptions
import time:       208 |        208 |                   jinja2.visitor
import time:       310 |        518 |                 jinja2.idtracking
import time:       184 |        184 |                 jinja2.optimizer
import time:       870 |       1929 |               jinja2.compiler
import time:       258 |        258 |                   jinja2.async_utils
import time:       689 |        689 |                   jinja2.runtime
import time:      1302 |       2249 |                 jinja2.filters
import time:       256 |        256 |                 jinja2.tests
import time:       249 |       2753 |               jinja2.defaults
import time:       692 |        692 |                 jinja2._identifier
import time:      1042 |       1734 |               jinja2.lexer
import time:       501 |        501 |               jinja2.parser
import time:      1061 |      13551 |             jinja2.environment
import time:       517 |        517 |             jinja2.loaders
import time:       389 |      15033 |           jinja2
import time:     15399 |      30431 |         spacy.cli.init_config
import time:       155 |      30585 |       spacy.cli.debug_diff
import time:       417 |        417 |       spacy.cli.debug_model
import time:       223 |        223 |             spacy.displacy.templates
import time:       466 |        689 |           spacy.displacy.render
import time:       327 |       1015 |         spacy.displacy
import time:       336 |       1351 |       spacy.cli.evaluate
import time:       258 |        258 |       spacy.cli.find_function
import time:       218 |        218 |       spacy.cli.find_threshold
import time:       297 |        297 |       spacy.cli.info
import time:       331 |        331 |       spacy.cli.init_pipeline
import time:       423 |        423 |       spacy.cli.package
import time:       340 |        340 |       spacy.cli.pretrain
import time:      2325 |       2325 |           _lsprof
import time:       382 |        382 |           profile
import time:       337 |       3043 |         cProfile
import time:       913 |        913 |         pstats
import time:       335 |       4291 |       spacy.cli.profile
import time:       366 |        366 |         spacy.cli.project
import time:       210 |        576 |       spacy.cli.project.assets
import time:       354 |        354 |       spacy.cli.project.clone
import time:        95 |         95 |       spacy.cli.project.document
import time:        79 |         79 |       spacy.cli.project.dvc
import time:        72 |         72 |       spacy.cli.project.pull
import time:        71 |         71 |       spacy.cli.project.push
import time:       173 |        173 |       spacy.cli.project.run
import time:       473 |        473 |         spacy.training.loop
import time:       162 |        634 |       spacy.cli.train
import time:       279 |        279 |       spacy.cli.validate
import time:       888 |     487282 |     spacy.cli
import time:        12 |     487293 |   spacy.cli.info
import time:       219 |        219 |   spacy.glossary
import time:       156 |        156 |   spacy.registrations
import time:      1222 |    6690647 | spacy
