import time: self [us] | cumulative | imported package
import time:       290 |        290 |                   _weakrefset
import time:       510 |        800 |                 weakref
import time:      1399 |       1399 |                       platform
import time:       333 |       1731 |                     numpy.lib._utils_impl
import time:       305 |       2036 |                   numpy.lib._format_impl
import time:       138 |       2173 |                 numpy.lib.format
import time:       329 |        329 |                 numpy.lib._datasource
import time:       349 |        349 |                 numpy.lib._iotools
import time:       559 |       4209 |               numpy.lib._npyio_impl
import time:       711 |        711 |                   numpy.lib._ufunclike_impl
import time:       308 |       1018 |                 numpy.lib._type_check_impl
import time:       417 |       1435 |               numpy.lib._polynomial_impl
import time:       409 |        409 |               numpy.lib._shape_base_impl
import time:       273 |        273 |               numpy.lib._version
import time:       102 |        102 |               numpy.lib.introspect
import time:       221 |        221 |               numpy.lib.mixins
import time:        85 |         85 |               numpy.lib.npyio
import time:       447 |        447 |                 numpy.lib._scimath_impl
import time:        92 |        538 |               numpy.lib.scimath
import time:        81 |         81 |               numpy.lib.stride_tricks
import time:       489 |      22198 |             numpy.lib
import time:       205 |        205 |             numpy._array_api_info
import time:      2430 |      70729 |           numpy
import time:       614 |        614 |           thinc.about
import time:      1051 |       1051 |                   _csv
import time:       364 |       1414 |                 csv
import time:       344 |        344 |                 email
import time:       505 |        505 |                   binascii
import time:       222 |        222 |                     importlib._abc
import time:       622 |        622 |                     threading
import time:        89 |        931 |                   importlib.util
import time:       732 |        732 |                     zlib
import time:       263 |        263 |                       _compression
import time:       485 |        485 |                       _bz2
import time:       349 |       1096 |                     bz2
import time:       989 |        989 |                       _lzma
import time:       409 |       1398 |                     lzma
import time:       726 |       3951 |                   shutil
import time:       866 |       6252 |                 zipfile
import time:       255 |        255 |                     quopri
import time:       621 |        621 |                           _bisect
import time:       213 |        833 |                         bisect
import time:       695 |        695 |                         _random
import time:       539 |        539 |                         _sha512
import time:       485 |       2551 |                       random
import time:       854 |        854 |                         _socket
import time:       835 |        835 |                           select
import time:       653 |       1487 |                         selectors
import time:       755 |        755 |                         array
import time:       946 |       4041 |                       socket
import time:        45 |         45 |                             _locale
import time:       742 |        787 |                           locale
import time:       635 |       1422 |                         calendar
import time:       433 |       1854 |                       email._parseaddr
import time:       343 |        343 |                           base64
import time:       213 |        555 |                         email.base64mime
import time:        59 |         59 |                             _string
import time:       466 |        524 |                           string
import time:       274 |        798 |                         email.quoprimime
import time:       365 |        365 |                         email.errors
import time:      1692 |       1692 |                         email.encoders
import time:     14560 |      17968 |                       email.charset
import time:       507 |      26920 |                     email.utils
import time:       527 |        527 |                       email.header
import time:       415 |        941 |                     email._policybase
import time:       283 |        283 |                     email._encoded_words
import time:       262 |        262 |                     email.iterators
import time:       819 |      29478 |                   email.message
import time:       150 |        150 |                     importlib.metadata._functools
import time:       221 |        371 |                   importlib.metadata._text
import time:       774 |      30622 |                 importlib.metadata._adapters
import time:       374 |        374 |                 importlib.metadata._meta
import time:       210 |        210 |                 importlib.metadata._collections
import time:       105 |        105 |                 importlib.metadata._itertools
import time:       496 |        496 |                         tempfile
import time:       321 |        321 |                         importlib.resources.abc
import time:       364 |        364 |                         importlib.resources._adapters
import time:       317 |       1497 |                       importlib.resources._common
import time:       277 |        277 |                       importlib.resources._legacy
import time:       132 |       1905 |                     importlib.resources
import time:        24 |       1928 |                   importlib.resources.abc
import time:       364 |       2291 |                 importlib.abc
import time:      1125 |      42734 |               importlib.metadata
import time:     17248 |      59981 |             catalogue
import time:        49 |         49 |                     org
import time:        16 |         64 |                   org.python
import time:         9 |         73 |                 org.python.core
import time:       216 |        288 |               copy
import time:      2173 |       2173 |               configparser
import time:      1070 |       1070 |               dataclasses
import time:       902 |        902 |                         _json
import time:       257 |       1159 |                       json.scanner
import time:       596 |       1754 |                     json.decoder
import time:       411 |        411 |                     json.encoder
import time:       332 |       2496 |                   json
import time:       456 |        456 |                   gzip
import time:      2775 |       2775 |                         _decimal
import time:       141 |       2915 |                       decimal
import time:      1347 |       4262 |                     srsly.ujson.ujson
import time:       293 |       4554 |                   srsly.ujson
import time:       311 |        311 |                   srsly.util
import time:       785 |       8601 |                 srsly._json_api
import time:        25 |         25 |                   gc
import time:        18 |         18 |                       srsly.msgpack.datetime
import time:      1355 |       1373 |                     srsly.msgpack._epoch
import time:      1541 |       1541 |                     srsly.msgpack._version
import time:       460 |        460 |                     srsly.msgpack.exceptions
import time:       349 |        349 |                       srsly.msgpack.ext
import time:       219 |        219 |                         __future__
import time:       105 |        324 |                       srsly.msgpack.util
import time:      2267 |       2939 |                     srsly.msgpack._packer
import time:      1456 |       1456 |                     srsly.msgpack._unpacker
import time:        52 |         52 |                       cupy
import time:       139 |        190 |                     srsly.msgpack._msgpack_numpy
import time:       335 |       8291 |                   srsly.msgpack
import time:       289 |       8605 |                 srsly._msgpack_api
import time:       854 |        854 |                         _uuid
import time:       497 |       1350 |                       uuid
import time:       169 |        169 |                       srsly.cloudpickle.compat
import time:      1508 |       1508 |                       typing_extensions
import time:       618 |       3642 |                     srsly.cloudpickle.cloudpickle
import time:       522 |        522 |                         traceback
import time:        25 |         25 |                         atexit
import time:      1415 |       1960 |                       logging
import time:       491 |       2451 |                     srsly.cloudpickle.cloudpickle_fast
import time:       128 |       6221 |                   srsly.cloudpickle
import time:       115 |       6335 |                 srsly._pickle_api
import time:       437 |        437 |                       glob
import time:       498 |        498 |                         srsly.ruamel_yaml.compat
import time:       335 |        335 |                         srsly.ruamel_yaml.error
import time:       243 |        243 |                         srsly.ruamel_yaml.nodes
import time:       316 |        316 |                         srsly.ruamel_yaml.util
import time:       507 |       1897 |                       srsly.ruamel_yaml.resolver
import time:       362 |        362 |                         srsly.ruamel_yaml.events
import time:       538 |        900 |                       srsly.ruamel_yaml.emitter
import time:       115 |        115 |                           srsly.ruamel_yaml.anchor
import time:       176 |        291 |                         srsly.ruamel_yaml.scalarstring
import time:       179 |        179 |                         srsly.ruamel_yaml.scalarint
import time:       315 |        315 |                         srsly.ruamel_yaml.scalarfloat
import time:       208 |        208 |                         srsly.ruamel_yaml.scalarbool
import time:       218 |        218 |                         srsly.ruamel_yaml.timestamp
import time:       583 |        583 |                         srsly.ruamel_yaml.comments
import time:      1012 |       2803 |                       srsly.ruamel_yaml.representer
import time:       384 |        384 |                         srsly.ruamel_yaml.tokens
import time:       382 |        382 |                         srsly.ruamel_yaml.scanner
import time:       363 |       1129 |                       srsly.ruamel_yaml.parser
import time:       269 |        269 |                       srsly.ruamel_yaml.composer
import time:       541 |        541 |                       srsly.ruamel_yaml.constructor
import time:       271 |        271 |                       srsly.ruamel_yaml.serializer
import time:       282 |        282 |                         srsly.ruamel_yaml.reader
import time:       203 |        484 |                       srsly.ruamel_yaml.loader
import time:       206 |        206 |                       srsly.ruamel_yaml.dumper
import time:        59 |         59 |                       _ruamel_yaml
import time:       966 |       9956 |                     srsly.ruamel_yaml.main
import time:       257 |      10213 |                   srsly.ruamel_yaml
import time:       358 |      10570 |                 srsly._yaml_api
import time:        99 |         99 |                 srsly.about
import time:      1710 |      35917 |               srsly
import time:      6979 |       6979 |                           pydantic_core._pydantic_core
import time:       324 |        324 |                                     concurrent
import time:       722 |        722 |                                     concurrent.futures._base
import time:       484 |       1529 |                                   concurrent.futures
import time:      1158 |       1158 |                                     _heapq
import time:       387 |       1544 |                                   heapq
import time:       839 |        839 |                                     signal
import time:      1171 |       1171 |                                     fcntl
import time:       240 |        240 |                                     msvcrt
import time:      5540 |       5540 |                                     _posixsubprocess
import time:       801 |       8588 |                                   subprocess
import time:      5936 |       5936 |                                     _ssl
import time:      2464 |       8399 |                                   ssl
import time:       558 |        558 |                                   asyncio.constants
import time:      4375 |       4375 |                                   asyncio.coroutines
import time:       334 |        334 |                                     asyncio.format_helpers
import time:       514 |        514 |                                       asyncio.base_futures
import time:       333 |        333 |                                       asyncio.exceptions
import time:       461 |        461 |                                       asyncio.base_tasks
import time:      1504 |       2810 |                                     _asyncio
import time:       906 |       4050 |                                   asyncio.events
import time:       613 |        613 |                                   asyncio.futures
import time:       352 |        352 |                                   asyncio.protocols
import time:       429 |        429 |                                     asyncio.transports
import time:       234 |        234 |                                     asyncio.log
import time:       843 |       1506 |                                   asyncio.sslproto
import time:       202 |        202 |                                       asyncio.mixins
import time:       423 |        423 |                                       asyncio.tasks
import time:       615 |       1240 |                                     asyncio.locks
import time:       482 |       1721 |                                   asyncio.staggered
import time:       292 |        292 |                                   asyncio.trsock
import time:      2108 |      35630 |                                 asyncio.base_events
import time:       474 |        474 |                                 asyncio.runners
import time:       362 |        362 |                                 asyncio.queues
import time:       441 |        441 |                                 asyncio.streams
import time:       393 |        393 |                                 asyncio.subprocess
import time:       237 |        237 |                                 asyncio.taskgroups
import time:       402 |        402 |                                 asyncio.timeouts
import time:       209 |        209 |                                 asyncio.threads
import time:       315 |        315 |                                   asyncio.base_subprocess
import time:       465 |        465 |                                   asyncio.selector_events
import time:       584 |       1362 |                                 asyncio.unix_events
import time:       614 |      40121 |                               asyncio
import time:        13 |      40133 |                             asyncio.coroutines
import time:      4967 |      45099 |                           pydantic_core.core_schema
import time:       631 |      52709 |                         pydantic_core
import time:       210 |      52918 |                       pydantic.version
import time:       436 |      53353 |                     pydantic.warnings
import time:       657 |      54009 |                   pydantic._migration
import time:      2266 |       2266 |                       typing_inspection
import time:      1023 |       1023 |                       typing_inspection.typing_objects
import time:      1332 |       4620 |                     typing_inspection.introspection
import time:       509 |        509 |                     pydantic._internal
import time:       405 |        405 |                         pydantic._internal._namespace_utils
import time:       567 |        972 |                       pydantic._internal._typing_extra
import time:       624 |       1595 |                     pydantic._internal._repr
import time:       607 |       7330 |                   pydantic.errors
import time:       441 |      61779 |                 pydantic
import time:       525 |        525 |                       pydantic.v1.typing
import time:      1136 |       1661 |                     pydantic.v1.errors
import time:        58 |         58 |                         cython
import time:       177 |        235 |                       pydantic.v1.version
import time:       678 |        912 |                     pydantic.v1.utils
import time:       458 |       3029 |                   pydantic.v1.class_validators
import time:       655 |        655 |                   pydantic.v1.config
import time:       200 |        200 |                         colorsys
import time:       376 |        576 |                       pydantic.v1.color
import time:      1252 |       1252 |                           pydantic.v1.datetime_parse
import time:       532 |       1783 |                         pydantic.v1.validators
import time:      1230 |       3013 |                       pydantic.v1.networks
import time:      1236 |       1236 |                       pydantic.v1.types
import time:       285 |       5109 |                     pydantic.v1.json
import time:       453 |       5561 |                   pydantic.v1.error_wrappers
import time:       788 |        788 |                   pydantic.v1.fields
import time:       341 |        341 |                     pydantic.v1.parse
import time:       587 |        587 |                     pydantic.v1.schema
import time:      1033 |       1959 |                   pydantic.v1.main
import time:       657 |      12647 |                 pydantic.v1.dataclasses
import time:       237 |        237 |                 pydantic.v1.annotated_types
import time:       304 |        304 |                 pydantic.v1.decorator
import time:       579 |        579 |                 pydantic.v1.env_settings
import time:       283 |        283 |                 pydantic.v1.tools
import time:       437 |      76264 |               pydantic.v1
import time:       617 |        617 |               confection.util
import time:      1621 |     117948 |             confection
import time:       314 |        314 |                   packaging
import time:       150 |        150 |                   packaging._structures
import time:      1487 |       1950 |                 packaging.version
import time:        51 |         51 |                 cupy
import time:        39 |         39 |                 torch
import time:        41 |         41 |                 h5py
import time:        34 |         34 |                 os_signpost
import time:       236 |       2350 |               thinc.compat
import time:      4184 |       6534 |             thinc.types
import time:       374 |     184835 |           thinc.config
import time:       327 |     256504 |         thinc
import time:       224 |        224 |           pydantic._internal._internal_dataclass
import time:       561 |        785 |         pydantic.aliases
import time:       323 |        323 |         pydantic._internal._config
import time:       250 |        250 |           pydantic._internal._core_utils
import time:       184 |        184 |             pydantic._internal._import_utils
import time:       583 |        767 |           pydantic._internal._utils
import time:      1852 |       2868 |         pydantic._internal._decorators
import time:       482 |        482 |             pydantic._internal._forward_ref
import time:       408 |        890 |           pydantic._internal._generics
import time:       283 |        283 |           pydantic._internal._docs_extraction
import time:       383 |       1554 |         pydantic._internal._fields
import time:       767 |        767 |             pydantic.plugin
import time:       781 |       1548 |           pydantic.plugin._schema_validator
import time:       363 |       1910 |         pydantic._internal._mock_val_ser
import time:       976 |        976 |             fractions
import time:       634 |        634 |                 sysconfig
import time:       956 |        956 |                 _sysconfigdata__darwin_darwin
import time:       412 |        412 |                 _osx_support
import time:      1081 |       3081 |               zoneinfo._tzpath
import time:       461 |        461 |               zoneinfo._common
import time:      1839 |       1839 |               _zoneinfo
import time:       504 |       5884 |             zoneinfo
import time:      2265 |       2265 |             pydantic.functional_validators
import time:       397 |        397 |               pydantic._internal._core_metadata
import time:       533 |        533 |               pydantic._internal._schema_generation_shared
import time:      1568 |       2497 |             pydantic.json_schema
import time:       428 |        428 |             pydantic._internal._discriminated_union
import time:       707 |        707 |             pydantic._internal._known_annotated_metadata
import time:       573 |        573 |             pydantic._internal._schema_gather
import time:      2017 |      15344 |           pydantic._internal._generate_schema
import time:       282 |        282 |           pydantic._internal._signature
import time:       623 |      16248 |         pydantic._internal._model_construction
import time:       229 |        229 |             wasabi.compat
import time:       467 |        695 |           wasabi.markdown
import time:       489 |        489 |                 multiprocessing.process
import time:       404 |        404 |                 multiprocessing.reduction
import time:       808 |       1700 |               multiprocessing.context
import time:       396 |       2095 |             multiprocessing
import time:      3163 |       3163 |                 difflib
import time:       422 |       3585 |               wasabi.util
import time:       489 |       4073 |             wasabi.tables
import time:       441 |       6608 |           wasabi.printer
import time:       345 |        345 |           wasabi.traceback_printer
import time:        89 |         89 |           colorama
import time:       429 |       8164 |         wasabi
import time:      2271 |     290625 |       thinc.util
import time:        71 |         71 |       cPickle
import time:        51 |         51 |       copy_reg
import time:        41 |         41 |           cupy
import time:         9 |         50 |         cupy.cuda
import time:         9 |         58 |       cupy.cuda.stream
import time:        45 |         45 |       cupy
import time:       497 |        497 |           thinc.backends._cupy_allocators
import time:       285 |        285 |           thinc.backends._param_server
import time:       854 |        854 |             thinc.backends._custom_kernels
import time:      4303 |       4303 |                     blis.cy
import time:      5269 |       9572 |                   blis
import time:        24 |       9596 |                 blis.cy
import time:      1856 |      11452 |               thinc.backends.cblas
import time:       505 |        505 |                   cymem.about
import time:       458 |        963 |                 cymem
import time:      4814 |       5777 |               cymem.cymem
import time:       312 |        312 |                   preshed.about
import time:       373 |        684 |                 preshed
import time:      3343 |       4026 |               preshed.maps
import time:        53 |         53 |                   thinc.backends.blis
import time:        23 |         75 |                 thinc.backends.blis.py
import time:      3647 |       3647 |                 blis.py
import time:      5340 |       9061 |               thinc.backends.linalg
import time:       345 |        345 |                   murmurhash.about
import time:      1880 |       1880 |                   murmurhash.mrmr
import time:       617 |       2841 |                 murmurhash
import time:        13 |       2853 |               murmurhash.mrmr
import time:        30 |         30 |                 thinc.backends.collections
import time:        11 |         40 |               thinc.backends.collections.abc
import time:        17 |         17 |               thinc.backends.typing
import time:        16 |         16 |               thinc.backends.numpy
import time:       999 |        999 |               thinc.backends.ops
import time:        32 |         32 |                 thinc.backends.blis
import time:        14 |         45 |               thinc.backends.blis.py
import time:      2620 |      36903 |             thinc.backends.numpy_ops
import time:       399 |      38155 |           thinc.backends.cupy_ops
import time:        79 |         79 |             thinc_apple_ops
import time:       253 |        332 |           thinc.backends.mps_ops
import time:       411 |      39678 |         thinc.backends
import time:       279 |        279 |         thinc.initializers
import time:       401 |        401 |               thinc.optimizers
